ababa addis -1	Up to seven people were killed when forces fire on demonstrators in Addis Ababa on May 29 .
environment protect -2	CARDBOARD recycling is one of the company 's green initiatives which is part of a continuing commitment to enhance and protect the environment .
environmental change 1	As these examples illustrate , both plantation forestry and agroforestry are significant agents of environmental change .
environmental conditions 1	The model HW-101 portable photoioniser for waste and gas applications has weatherproof seals which allow operation under virtually all environmental conditions .
environmental damage 1	By this invasion Rowland and the Land 's End Ltd managers are precipitating environmental damage , not reducing it .
environmental degradation 1	More intensive use of tropical forests is occurring where pressure on land is so acute that fallow periods of insufficient duration are creating environmental degradation .
environmental factors 1	In contrast neoliberals ' emphasis on individual choice and personal responsibility for health makes them underestimate the importance of environmental factors .
environmental protection 1	A possible link between cancer and electromagnetic radiation from power lines and appliances has now been accepted by the US Environmental Protection Agency .
environmental us -1	A possible link between cancer and electromagnetic radiation from power lines and appliances has now been accepted by the US Environmental Protection Agency .
environmentally friendly 1	Green activists some chilling discoveries they went looking for environmentally friendly fridges .
environmentally sensitive 1	Marshes are one of the most important areas of low marshland in the country and are an Environmentally Sensitive Area .
envoy special -1	And what of the US proposal to send a special envoy to Northern Ireland ?
equal access 1	Will he confirm categorically TECs will have equal access to the funds that he has made available under the White Paper , excellent as it is ?
equal numbers 1	A new police force has been created , with equal numbers of ex-soldiers and ex-guerrillas in its ranks .
equal roughly -1	Belloc 's ideal was the traditional vision of a roughly equal community of small producers .
equal terms 1	They both told me how they enjoyed the sport , in which they could compete equal terms with the able-bodied .
equal treatment 1	Occupational and personal pension schemes will have to guarantee a minimum pension before they can contract out , and equal treatment for men and women .
equality commission -3	The Commission for Racial Equality can carry out a formal investigation and issue a non-discrimination notice .
equality opportunity 2	An aim of educational policy in this and many other countries has been that of enhancing equality of opportunity .
equality racial -1	The Commission for Racial Equality can carry out a formal investigation and issue a non-discrimination notice .
equipment computer -1	But by a quirk of technology and practice , business has been more prepared to replace ageing computer equipment than it .
equipment digital -1	Future releases will include a Digital Equipment Corp VAX version - DEC server software already exists , and an NT-based personal computer version .
equipment electronic -1	Advanced shielding to insulate electronic equipment has enabled great strides to be made in the information and communications technology field .
equipment military -1	Americans were forbidden to sell arms and military equipment to countries at war .
equipped better -1	He then has more chance of females and is better equipped to overpower them in fights .
equipped fully -1	The accommodation here is all self catering , and the apartments are fully equipped with cooker and fridge .
equipped ill -1	Ill-equipped and deplorably armies shamingly in action ; but resistance continued .
era new -1	It 's doing something like this which is historically the foundation of this country and carries us to a new era .
era victorian -1	Much was heard by the end of the Victorian era about changes in the content of sermons .
eric cantona 1	And he will be one of the players given the job of keeping out the threat of Frenchman Eric Cantona and Lee Chapman .
eric clapton 1	I wonder what Eric Clapton thought of that part of Nirvana 's performance ?
ernst young 2	Pharos is being offered free to all NatWest 's business customers , Ernst and Young clients and CBI members .
error message 1	Each of these are listed on a separate line the error message .
error messages 1	These errors are not documented below and if they occur should be reported to Sema Software Technology along with any database error messages described above .
error trial -2	As stated , this could well save you years of wasted time if you would otherwise rely on trial and error .
escape managed -2	In January 1945 he was arrested in Krakow by the Gestapo but managed to escape from the transport taking him to a concentration camp .
escape route 1	Half a century later , he 's joining a team to follow a fifteen hundred mile wartime escape route from Holland to Gibraltar .
escape trying -2	A PRISONER in a police car died when he fell its wheels while trying to escape .
especially true 1	This is especially true if a small area only has been tessellated .
essential absolutely -1	However , the needs of the 1970s to the present day have made representation in established and new financial centres absolutely essential .
essential element 1	Allan observes friendship depends upon a degree of equality between the participants , and that a one-sided relationship denies the essential element of reciprocity .
essential feature 1	Identifying the underlying motives of a particular nation for taking any restrictive action on trade should be an essential feature of any international marketing plan .
essential ingredient 1	That is the difference between switching on and switching off , and switching on is an absolutely essential ingredient to the art of making it happen .
essential oil 1	Any synthetic chemical will carry with it a small percentage of undesirable substances which are not found in the essential oil .
essential oils 1	It is crucial that pure , unadulterated essential oils are used in therapy .
essential part 1	There is much to be done to develop primary care services in inner London , of which general practice is an essential part .
est c -1	It was pink because is the colour of Christian Lacroix 's first scent , C'est la Vie .
establish whether 1	Clinical trials at AEA Technology in Harwell must yet establish whether the new hip replacements are working .
established church 1	In theory delegates not as Nonconformists but as evangelical Christians who were free of state control because outside the Established Church .
established firmly -1	It took considerable time here for the work of the CAB to be understood but its place is now firmly established .
estate agency 1	The rate increase is doubly painful for societies with large loss-making estate agency chains .
estate agent 1	There 's nothing stopping you putting your own small ads in local papers and newsagents ' windows , as well as using an estate agent .
estate agents 1	He was then sent out to work , first at a factory in the East End of London and then at an estate agents .
estate car 1	Mercedes-Benz were the diesel car pioneers in the 30s and I grew quite to their big 300 diesel estate car , also with automatic transmission .
estate council -1	They were and in a row a stolen bamboo at a council estate in Camberwell , South London .
estate housing -1	An poster for the clothing company Benetton which features a burning car has been put up close to a housing estate notorious for joyriders .
estate industrial -1	A thief just into the first floor office at Newman Lane industrial estate and then made off .
estate real -1	It requires co-operation between groups of families and carefully experts in the area of developmentally and real estate .
estates council -1	I know what they mean - I 've lived three quarters of my life in council estates , that 's where I feel at home .
estranged wife 1	The incident is believed to have taken place at the home of Mr Dearlove 's estranged wife Janet .
et al 1	Finally , the possible mechanisms underlying the cyclic fragmentation and reassembly of continents are discussed at an introductory level by Nance et al .
ethics committee 1	The decision opens the way for the trial to begin this autumn pending approval from the drug agency and the local ethics committee .
ethnic group 1	Although overt inferiorization may not be present , there is a tendency to view cultures from within the categories and frameworks of one ethnic group .
ethnic minorities 1	A report published by the Commission for Racial Equality in 1987 also that British trained doctors from ethnic minorities had trouble in getting the best jobs .
euro currency 1	Cross-border banking is essentially wholesale banking and has to a large extent been dependent on euro-currency growth .
euro disney 1	IT looks more and more as though Euro Disney has goofed with its theme park outside Paris .
europe continental -1	It is already a business committed to export , with 80 per cent of the film going abroad and 30 per cent of that destined for continental Europe .
europe council -2	I hope that the Government will provide time for a proper debate on Council of Europe affairs .
european bank 1	That uncertainty will mean that the City of London will lose any aspirations that it has to accommodate the central European bank .
european communities 1	A key issue in the campaign had been Malta 's foreign policy , in particular its relationship with the European Communities ( EC ) .
european convention 1	This is gradually strengthening the case of those who argue that Britain should have a Bill of Rights which incorporates the European convention .
european court 1	It is hard to see how the system can be deformed further without losing both and more cases at the European Court of Human Rights .
european east -1	I gave her a deep old-fashioned bow , a legacy of the East European courtesies in which I had been raised .
european economic 1	It has been seen that wartime planners believed that France could gain from European economic co-operation .
european human 3	It is hard to see how the system can be deformed further without losing both and more cases at the European Court of Human Rights .
european pan -1	Programmes to promote pan-European business networks and companies , especially for SMEs .
european west -1	The Soviet Union had entered international sport with a vengeance , throwing the weight of a massive state against West European and American dominance of athletics .
european western -1	Britain has more prisoners per head of population than any other western European country .
evaluation self -1	One approach involves each teacher undertaking a form of self-evaluation .
evans mr -1	Albert came to the shop in the late afternoon with a letter for Mr Evans from Hepzibah .
evasion tax -1	It meant he had finally been accepted back into the Royal fold after being stripped of his OBE he was jailed for tax evasion .
eve adam -2	Set in 1680 , it ended with a dance around the hall 's famous Adam and Eve trees .
eve christmas -1	None of the councillors on the Appeal Committee would want to attend an appeal on Christmas Eve .
eve year -2	Just after Kathy left for London , David arrived with a bottle of champagne to spend the day and celebrate New Year 's Eve .
evening classes 1	Cause it 's got the University and evening classes and all the rest of it .
evening meals 1	Thus she was always forced to eat her evening meals out of TV-dinner-trays in front of the dreaded box .
evening news 1	In conjunction with our radio broadcasts , we often run the campaign in the local press and Evening News .
evening previous -1	He smilingly proffered me a cup of watered wine in one of the goblets I had hidden away the previous evening .
evening rest -3	But how was she to get through the rest of the evening ?
evening standard 1	Someone who put 20p into the guitar case also his Evening Standard , possibly as or to be rid of it .
evening tomorrow -1	Better still , why do n't you come along to a party we 're throwing tomorrow evening ?
evening tuesday -1	Thieves also struck in Clarence Avenue earlier this week they stole a boy 's leopard mountain bike from outside a house on Tuesday evening .
event annual -1	The annual event which brings together many of the 2 , 000 worldwide members of the association is usually held in America .
events course -2	Ball was the only prominent figure in the rising who had any known background of discontent ; the other leaders emerged in the course of events .
events political -1	Although adhered to a clear set of communist principles between 1935 and 1939 , his psychological state fluctuated in accordance with national and international political events .
events sequence -2	So whilst internal factors are an important part of the picture the external factor of itself ( ie caused ) the whole sequence of events .
events social -1	Evening classes for badminton or are good fun and can lead to further social events .
ever biggest -1	It is worth noting that Bob Dylan 's '66 tour featured a huge American flag backdrop - at that stage the biggest ever produced .
ever hardly -1	From that day to this Adam had never set eyes on Mary Gage and had hardly ever thought of her .
ever increasing 1	The ever-increasing competition in telecommunications is a good example of that process at work .
ever present 1	He became an ever-present volunteer , had passed as a fireman and was training to be a driver .
every reason 1	As we have seen , the Chicago sociologists had every reason to be concerned with gangs engaging a criminal behaviour .
every single 1	There is nothing to say about lawyer D , for he adopted his client 's as his own in every single case .
every ten 1	So for every ten seconds there the horse s its displacement is .
every virtually -1	It should have been a bumper harvest , but since this wheat was ready to cut 2 weeks ago it 's rained virtually every day .
everyday life 1	While different perspectives might be of different groups , a realm of knowledge utilized by all is that of everyday life .
everyone almost -1	It is hard to avoid the conclusion Thursday 's extraordinary election result was one of the finest jokes almost everyone in sight for years .
everyone nearly -1	There is a lack of facilities , but nearly everyone has a car .
everything almost -1	But Community Care can reveal how she so easily prey to her son and lost almost everything .
everywhere almost -1	Guaranteed next-day delivery by 10am to all major UK business centres and by noon to almost everywhere else .
everywhere else 1	Guaranteed next-day delivery by 10am to all major UK business centres and by noon to almost everywhere else .
evidence act 1	Irving had studied the 1984 Police and Criminal Evidence Act proposals to legislate for interrogation and prisoner control .
evidence ample -1	At the root of my disgust is not rampant misanthropy , despite the ample evidence which can be adduced for the evils of humankind .
evidence archaeological -1	Some analysts have made considerable use of , literary and archaeological evidence from the Continent .
evidence circumstantial -1	There is certainly accumulating circumstantial evidence to suggest that this is in fact the case .
evidence direct -1	Competition between different groups of dolphins might have led to extinctions in some groups , but there is no direct evidence .
evidence documentary -1	In addition the court may direct that the local authority be provided with copies of all or part of the documentary evidence in the case .
evidence empirical -1	So the Marxist contention capitalism is exploitation is not the result of carefully considered empirical evidence but of the Marxist definition of value .
evidence experimental -1	Learning is not always used as soon as it is acquired : Edward Tolman gave experimental evidence for this latent learning .
evidence forensic -1	They had been sentenced to between five and 14 years ' imprisonment on the basis of forensic evidence from hand indicating that they had handled nitroglycerine .
evidence giving -1	I 'm especially grateful to my friends who supported me by giving evidence .
evidence hard -1	The following year provided hard evidence for the case for total communication and recognition of BSL as the language of the deaf .
evidence historical -1	We should thus expect resistance from workers to attempts by management to wrest from them , and the historical evidence for this is now forthcoming .
evidence medical -1	But Taylor will insist independent medical evidence if any selected players are withdrawn .
evidence piece -2	The second piece of evidence in the field of attitude .
evidence scientific -1	A woman 's place is in the home - not only is this common sense , it is also backed by scientific evidence .
ex parte 1	In advance of the hearing , the court may make an interim order staying any proceedings and this order can even be made ex parte ( r 6.208 ) .
ex servicemen 1	A charity which provides homes for disabled ex-servicemen has a luxurious bungalow empty , but it ca n't find a suitable occupant .
ex wife 1	Once my husband left me and went back to his ex-wife .
exact nature 1	Both are represented schematically in figure 11.5 but the exact nature of the structure has been the subject of considerable controversy .
exactly almost -1	By extending the franchise and seats , the 1832 Act increased the electorate by almost exactly a half .
exactly knew -1	But Luke made his way through the panelled luxury as if he knew exactly where he was going .
exactly knows -1	It 's from a guy who knows where the body is , and who knows exactly whose dabs are on the shiv .
exactly much 2	This will be drawn to scale , and exactly how much space is available .
examination close -1	The trade in the nineteenth century does not stand up to close examination .
examination closer -1	However , closer examination of the Christian religion puts a question against this .
examination detailed -1	Although the above is a detailed examination of ways of developing a game , it is not comprehensive .
examination histological -1	In eight of the 11 patients , full thickness intestinal biopsy specimens were available for histological examination .
examination mortem -1	Those advocating lose for doctors who ask relations for permission to do a post-mortem examination and get it .
examination post -2	Those advocating lose for doctors who ask relations for permission to do a post-mortem examination and get it .
examination results 1	IN OUR household as in many others recently there were a few worrying days before the GCSE examination results were published .
example classic -1	My Own Private Idaho is a rare and classic example of the mixed film .
example excellent -1	This is an excellent example of what the local historian will be coping with at parish level .
example fine -1	Let no one tell me that the principles of democratic socialism - of which the NHS is a fine example - are .
example interesting -1	Perhaps the most interesting example of this is on the Burroughs B6700 , in Figure 2.10 .
example obvious -1	The English course in Lesotho and originally for Rhodesia provides a particularly obvious example .
example perfect -1	The most perfect example of the Marine Style is the pot from with an octopus all over its surface .
excellence par -1	If Maazel and are essentially musical structuralists ( if deniably impassioned ) , then Bernstein is the emotional structuralist par excellence .
excellent condition 1	Only 10 per cent of the coast was said to be in excellent condition .
excellent example 1	This is an excellent example of what the local historian will be coping with at parish level .
excellent idea 1	I think that 's an absolutely excellent idea to involve younger people .
except everything -1	Newspaper and magazine publishers joined the book business in protests , which resulted in the government abandoning the planned increase - on everything except paper for books .
except perhaps 1	In the warren no rabbit of his age would have been asked to tell a story , except perhaps to a few friends .
exception possible -1	Arguably the most popular in contemporary carpets , with the possible exception of the .
exception without -1	You will see that almost without exception they have been included in this document .
exceptional circumstances 1	Any payment you have made is non-returnable unless 14 days ' notice is given or there are exceptional circumstances to be taken into account .
exceptional items 1	Increased production , cash flow and profits have resulted in higher profits before exceptional items in 1992 .
exceptionally well 1	And as Henley and Shiplake were stations easily accessible from London , a course in the Harpsden vicinity would be exceptionally well located for train golfers .
exceptions notable -1	We have done well in our provincial fixtures , with notable exceptions against the in the first half and in the defeat by Otago .
excess alcohol 1	In a prosecution for an offence under section 5 of with excess alcohol in the blood the prosecution on the breath specimen in evidence .
exchange stock -1	Cadbury proposes that auditors should review a company 's compliance with the code , before the compliance statement is lodged with The Stock Exchange .
excise duties 1	The structure of excise duties is inimical to the Treasury 's own interests .
excise duty 1	The 0.8 p.c. in the index between the two months was largely due to changes in excise duty in the Budget .
exclusion clauses 1	This is because 1977 provides the courts with a statutory weapon for exclusion clauses in general ( see p65 ) .
exclusive mutually -1	It has also been recognized that may not be correct supposing that cost-leadership and differentiation policies should always be mutually exclusive .
exclusively almost -1	Additional labour is brought in as and when required , and is brought in almost exclusively on a casual basis .
executive chief -1	Full marks to Business for analysing the performance of Top 1000 companies in which the roles of chairman and chief executive are ( Inside Business , May ) .
executive housing -1	Opening the case yesterday , a Crown lawyer told the jury that Mr Winning was employed by the Housing Executive to protect property from vandals .
executive officer 1	The questionnaire was mailed by the executive officer at the Fibrosis Research with a reply envelope and explanatory letter .
executive safety -1	BP Chemicals has set up an enquiry into the incident and the site has been visited by representatives of the Health and Safety Executive .
executives chief -1	Indeed , a few authorities have retreated from corporate teams have been disbanded and some chief executives .
exist ceased -2	The rest of the church had ceased to exist for him .
exist still -1	Not only do these phenomena still exist , they have been intensified by being reproduced within the framework of a world economy .
exist within 1	Again an attempt to undermine the skills and expertise that currently exist within the Health Service .
existence came -2	Gerry : It 's really strange how the special interest groups of oppressed people came into existence .
existence come -2	It could not have come into existence in a single act of chance .
existence continued -1	They multiply this benefit by the likelihood that their personal contribution to the interest group will determine its success or continued existence .
existing ones 1	What it may have sacrificed the way is the user 's ability to create new sounds from scratch , though you can still edit existing ones .
existing pre -1	Few policies cover pre-existing conditions , self-inflicted injury or claims .
exists still -1	The bell tower from the eleventh-century and is the oldest in the Lombardy Romanesque style that still exists .
expanded memory 1	There 's no choice here - you must use expanded memory .
expansion rapid -1	Modern art is directed at a largely untutored in the fine arts amidst a rapid expansion of the means of communication .
expect find 2	If speculative efficiency is valid in the foreign exchange market , then we would expect to find the null hypothesis to be true .
expect see 2	And what can we expect to see during the coming year ?
expectancy life -1	In many cases , the tests show gross handicaps which would carry no life expectancy whatsoever .
expectations great -1	Captain Burrows obviously had great expectations for his new offspring .
expectations hypothesis 1	This curve is of fundamental importance to the macroeconomic policy conclusions often drawn from the rational expectations hypothesis .
expected see 2	The main component of these expectations is expected inflation ( see Chapter 2 ) .
expecting see 2	I looked round , half expecting to see Conchis somewhere behind me .
expenditure military -1	A massive amount of British and American military expenditure is directed to the maintenance of manpower and overseas .
expensive much -2	Monetary inflation , demand and fuel and running costs have all made public transport much more expensive to provide rural areas .
experience direct -1	Probably few people in the country could have more direct experience than she had .
experience hand -1	THE Princess of Wales spoke of her first-hand experience of family break-up yesterday .
experience practical -1	However , the diagnostic tables are of a theoretical nature and are often not to reflect practical experience .
experience religious -1	The disciplined study of religion reaches out more broadly to cover all the forms of religious experience .
experimental evidence 1	Learning is not always used as soon as it is acquired : Edward Tolman gave experimental evidence for this latent learning .
expertise technical -1	This has opened new areas of employment for actuaries , frequently involving communication skills as well as technical expertise .
explain able -2	She 'll at least be able to explain Yeo Davis to us .
explain attempt -2	Although he identified the trend towards more non-manual jobs , Marx made no detailed attempt to explain how they fitted into his theory of stratification .
explain difficult -2	The other main difference between the two species is far more difficult to explain .
explain might -1	This therefore out some forecasts such as that of the London Business School , and it might explain why all took the Henley publications .
explain tried -2	We tried to explain the national concern over heart disease , and the medical advice to avoid excess salt .
explain try -2	Ha Ha Ha I ca n't wait for the bullshit to flow as they try to explain away this one .
explain trying -2	With his home-made phrase book to help him , was trying to explain the mysteries of inn-sewer-ants to .
explaining way -2	The same analysis goes some way toward explaining why context-specificity should be more easily demonstrable in appetitive conditioning .
explanation possible -1	The apparent conflict of evidence is still not completely resolved , but there is a possible explanation .
explanations possible -1	The reasons for this are unclear , but there are two possible explanations .
explanatory self -1	In the case of PRS , the title is self-explanatory .
export earnings 1	A number of changes were made to the system of stabilization of export earnings ( Stabex ) regarding agricultural and fishery products .
export markets 1	But with more than two thirds of its products abroad , the company 's concerned at the continuing downturn in its export markets .
express american -1	Clearly , the American Express Card is something you should n't be without .
express daily -1	It will decide on April 29 whether the Daily Express and the family privacy by naming her the girl in the broadcast .
expressed hope 2	At the ceremony Mitterrand expressed the hope that the conference would act as an impulse for ideas to become concrete steps .
expressing way -2	We may see here a way of expressing the double motif of God 's transcendence and immanence discussed above .
expression facial -1	Because apparently we 've all got to avoid eye either , or facial expression .
extend range 2	Proposed new legislation will extend the range of exempt companies to include Manx-registered companies .
extended family 1	The move of the elderly from the family to institutions is partly a result of the change from extended family to nuclear family .
extended include 2	Tonight Downing Street said that Operation might be extended to include more war victims .
extensive use 1	Geriatric units are particularly vulnerable because treatment of tends to be long term and there is extensive use of tract catheters .
extent certain -1	Erm and certainly there are belts of woodland there which could screen it to a certain extent .
extent full -1	Times have changed dramatically for the county , but this afternoon 's game will determine the full extent of a well publicised revival .
extent great -1	By the time I had children of my own , I had overcome by fear to a great extent but I was still a little nervous .
extent large -1	From what has been said it will be clear gilt and gilt prices are driven to a large extent by and interest rates .
external debt 1	Despite this major problem , banks must endeavour to monitor the external debt position of countries .
external world 1	None of this implies of course that babies know anything about the external world at all .
extra care 1	High winds and torrential rains have swept eastwards across the country , prompting warnings for drivers to take extra care .
extra cash 1	ITN could broadcast a news service throughout the day , generating the much-needed extra cash .
extra costs 1	But BT denied threatening to stop work and blamed the extra costs on the council .
extra day 1	Just gives you an extra day off does n't it ?
extra income 1	Extra income has also come from bank interest on appeal funds already deposited .
extra resources 1	I am sure that the public in Cumbria and elsewhere realise that no other Government would allocate these extra resources for the police .
extra staff 1	Alongside the occasional opportunity classes in the 1960s came a little finding for extra staff .
extracts nuclear -1	Detection of proteins in nuclear extracts from undifferentiated F9 cells .
extraordinary quite -1	But the transformation was quite extraordinary over the festive season , and the team deserved to be in that position by the end of their campaign .
extreme case 1	Belgium is the extreme case of a country whose own institutions are so weak that EC integration seems the only substitute .
extreme form 1	This is really an extreme form of the distinction in 2 above .
extreme right 1	This is the big stick treatment for violent criminals which is traditionally associated with an extreme Right-wing attitude .
extremely complex 1	In a society where community factions are at war with each other this is extremely complex and riddled with failed attempts .
extremely dangerous 1	Never use a hot water bottle and an electric blanket together , as this is extremely dangerous .
extremely difficult 1	There is no point in explaining behaviour patterns in animals that are extremely difficult to observe .
extremely good 1	She has been childminding for eight years now and has gained an extremely good reputation .
extremely high 1	Clearly , even short-tail streamers might represent considerable handicaps in families the fitness consequences of impaired flight are extremely high .
extremely important 1	In the meantime an extremely important development had occurred in Venice .
extremely low 1	It is suspended equidistantly between two fixed perforated plates forming a arrangement in which inherent distortion levels are extremely low .
extremely popular 1	Our accommodation in Alsopahok is at the Hotel Pansio Heviz , which has proved to be extremely popular with New Millennium passengers over the years .
extremely rare 1	First , it must always be emphasised that long-term graduate unemployment is extremely rare .
extremely unlikely 1	A happy thought is that a gain of 2-3 lb ( 1 kg ) in a day is extremely unlikely to be due to .
extremely useful 1	Hence , some method of indicating the state of a battery can be extremely useful in any item of portable equipment .
extremely valuable 1	Museum loan services can also be useful , and visits to the local museums can be extremely valuable .
extremes two -1	And in between these two we also have something midcentrics who do bits of both , but these are the two extremes .
eye black -1	He believed they might not be able to see the scratches on his face or the vestiges of a black eye that way .
eye catch -2	Visual presentations catch the eye and make the reader interested in reading the accompanying text .
eye corner -3	The drinks came and Ward sat back , watching me out of the corner of his eye .
eye good -1	In essence , the art of relies on a good eye for lines .
eye left -1	Tara Lee is here for an operation to remove a cyst just above her left eye .
eye level 1	Standards are much easier to work on - the work is at eye level and your back does n't have to break .
eye mind -2	The image in his mind 's eye was as as ever .
eye movements 1	Brain synaptic plasticity has also been suggested based on measurements of eye movements and neuronal responses during before and after adaptation in monkeys and goldfish .
eye naked -1	It LOOKS like an ordinary card , but has differences that are invisible to the naked eye .
eye private -1	ACCORDING to acquaintances who move the twilight world of Private Eye , the satirical magazine is hoping for a Conservative victory .
eye public -1	Many will have forgotten him too because it is how quickly those in the public eye .
eye view 1	IF you want to get a bird's-eye view of London , try Canary Wharf .
eye watchful -1	Distressed by mindless vandalism that destroys trees and flowers they are keeping a watchful eye on plant life .
eye witness 1	An alleged eye-witness account of the invaders of Hungary in 1240 AD provides gruesome details of their combination of sexual and dietary depravity .
eyed blue -1	For she knew an instant that the blue-eyed blond tot was not the baby from her a Greek island 14 months ago .
eyed bright -1	Sprague rose bright-eyed and pleasantly , to sing the hymn .
eyed wide -1	Then the big one appeared in the doorway , and wide-eyed .
eyes glittered 1	In the light of the his eyes glittered like blue ice .
eyes kept -2	Devlin kept his eyes and let him get on with it .
eyes rolled -2	He rolled his eyes and blew her a kiss but unfortunately Maggie saw him do it .
face brave -1	David Wood has proved himself to be the brave face of '93 by winning a top modelling event - just after a successful fight against cancer .
face come -1	If he does , he may just come face to face with himself .
face handsome -1	Was she a silly girl to be so confused and seduced by a handsome face ? a beautiful body ?
face pretty -1	Emily sank down into a chair and studied the pages closely , controlling the urge to slap the insolent hussy 's pretty face .
face value 1	Alternatively cards may be moved from pile to pile if they match the suit of the card underneath and have a lower face value .
faced red -1	A moment later he was red-faced , reacting with a panic was quite exceptional for George Cowley .
faced white -1	Her son was white-faced , a sure sign of anger in the Arbuthnots .
faceted multi -1	Now they are composite , multi-faceted and potentially more dangerous - and the governments contributing troops tend to be much more demanding .
facial expression 1	Because apparently we 've all got to avoid eye either , or facial expression .
facie prima -1	Once that confidentiality is dissipated by the use of the documents in open court , prima facie the undertaking lapses .
facilities making -1	All rooms are air-conditioned with coffee/tea making facilities , television and .
facilities recreational -1	The main building at Jordanstown is designed a central Mall , itself a spine for the 17 blocks of academic and recreational facilities and accommodation .
fact accept -2	Do you accept that fact that it 's only a quarter of people ?
fact actual -1	It is only now clear to me in actual fact it must have been a day later .
fact attention -3	I draw the hon. Gentleman 's attention to the fact that we are debating an amendment to the motion on the Queen 's Speech .
fact aware -3	Both at home and abroad , the intention is to ensure that the people who are entitled to vote are aware of that fact .
fact mere -1	It makes it sound really and adventurous before you 've even bought the package , the mere fact that you have to go through that beforehand .
fact spite -3	That is why attitudinists are sometimes rather oddly lumped together with intuitionists as non-naturalists , in spite of the fact that Stevenson .
fact view -3	This was particularly important in view of the fact that women were often forced to give up paid work on marriage .
facto de -1	If the king-duke could not be a dejure sovereign in his duchy of Aquitaine then he had to be made one de facto .
factor contributory -1	This flexibility should not be achieved by staff around at will , for the lack of stability is a contributory factor to wastage .
factor crucial -1	And certainly n the case of Holland 's subsequent defeat by Switzerland , may have been the crucial factor .
factor growth -1	The pattern of six cysteines encoded segments 6 and 8 that of an epidermal growth factor ( EGF ) -like motif .
factor key -1	It dismisses suggestions acid rain is a key factor in tree health .
factor limiting -1	It 's just that most people have got m quite a lot so it 's a limiting factor .
factor risk -1	Girls with few friends in childhood more , though this may be an effect of abuse and not a risk factor .
factor significant -1	US resistance to agreements either or greenhouse gas was cited by many as being a significant factor in preventing further progress .
factors affecting 1	The theme selected for the research was an investigation into social factors affecting output .
factors environmental -1	In contrast neoliberals ' emphasis on individual choice and personal responsibility for health makes them underestimate the importance of environmental factors .
factors including 1	The problem has been compounded by other factors , including increased water abstraction and drainage .
factors key -1	Discrimination , judgment and evaluation come to operate as key factors in determining which associations are valid and pertinent and which are irrelevant .
factors main -1	The brevity of the scale and its acceptability in community survey settings are the two main factors underlying its popularity .
factors risk -1	Decades of research on a major scale points the finger at cholesterol as one of the key risk factors for heart disease .
factors variety -2	But even within the UK the popularity of bank over time has been affected by a variety of factors .
factory floor 1	The Welsh Development Agency has provided more than 500 , 000 sq ft of new factory floor space .
facts stated 2	The facts are stated in the judgment of the court .
factual information 1	However , it made no statement concerning its decision factual information and suspicions could be mixed in one computer .
fade away 1	It is not going to disappear like so many initiatives that well but fade away .
fael inis 1	But Fael-Inis was concentrating honey on to a wedge of bread , and seemed not to notice .
failed also -1	Members of the policy and resources committee agreed the Government had also failed to take into account inflation , in grants and transitional arrangements .
failed find 2	He reached for the door but failed to find it .
failed get 2	Others have failed to get through the treacherous terrain and past the warring factions .
failed make 2	But his form for Victoria this winter has been depressing and he failed to make the Test team against either West Indies or New Zealand .
failed never -1	He often did this when in contemplative mood and it never failed to unnerve me .
failed reach 2	Between 1944 and 1958 more than 16 bills on broadcasting - centring on the status of RTF failed to reach the statute book .
failed take 2	Members of the policy and resources committee agreed the Government had also failed to take into account inflation , in grants and transitional arrangements .
failed win 2	But the plans because Adams and McGuinness failed to win the IRA leadership .
failure comply 2	A failure to comply with the Order is an offence under the above Act .
failure doomed -2	The attempt was doomed to failure as the brothers were vastly outnumbered .
failure heart -1	And that 's what the heart is like in heart failure .
failure liver -1	In a patient presenting or a particularly large overdose recognition of the onset of liver failure is crucial .
failure renal -1	The results in patients with chronic renal failure are interesting , but clinically irrelevant .
faint hearted 1	The coastguard duties paths at the top of high and sheer cliffs - not a job for the faint-hearted .
faint smile 1	He was contemplating her worried expression with a faint smile curling his mouth .
faintest idea 1	The financial side was something of a problem to Winnie , who had not the faintest idea what should be charged .
fair amount 1	Almost all the basic ideas of group theory occur naturally as one studies the cube and a fair amount of advanced group theory emerges .
fair bit 1	The use of such a file will eliminate for synonyms and may save a fair bit of time .
fair deal 1	The workforce at Swan Hunters have never asked for any special privileges , they 've always asked for a fair deal on a field .
fair hair 1	The little girl was about four , a pretty child with curly fair hair and chubby cheeks .
fair haired 1	An answering sigh came from the fair-haired girl next to her .
fair isle 1	The minister confirmed that a ban on tankers in the was being considered , and that a separation scheme was possible for the Fair Isle area .
fair number 1	Even in a relatively small area of provision like dementia , a fair number of voluntary organisations will be involved - they can not all be represented .
fair office -2	Local authorities are resisting the cut , saying BGR is attempting to dictate to the market and calling for the Office of Fair Trading to intervene .
fair say 2	From an early age , it is fair to say that he has enjoyed an arm's-length relationship with reality .
fair share 1	This is a difficult year for the world as a whole , so Taureans must expect their fair share of pressure .
fair trading 1	Local authorities are resisting the cut , saying BGR is attempting to dictate to the market and calling for the Office of Fair Trading to intervene .
fair trial 1	Their lawyers argued the men would not have a fair trial because of the delays , and proceedings against them were stayed .
fair true -2	The directors may depart from statutory requirements if they would prevent the accounts from showing a true and fair view .
fair view 1	The directors may depart from statutory requirements if they would prevent the accounts from showing a true and fair view .
